person_id,conscientiousness_score,extraversion_score,neuroticism_score,identity_coherence,life_satisfaction,social_functioning,developmental_integration,measurement_reliability_index,identity_trait_alignment_index,person_situation_sensitivity_index,responsible_interpretation_index,mean_behavior_score,mean_situation_strength,mean_observed_regulation,mean_contextual_constraint
PER00425,5.395,3.696,2.090,3.494,3.228,4.082,3.417,7.757,4.993,5.340,5.435,4.506,4.429,4.690,4.473
PER00426,5.762,3.760,2.754,3.304,3.293,3.594,3.403,8.355,4.302,4.552,5.949,4.493,4.682,4.544,4.386
PER00427,5.669,3.083,1.559,3.397,3.285,3.475,4.485,7.834,4.929,4.724,5.741,4.559,4.317,4.796,4.164
PER00428,5.840,4.659,3.193,3.060,3.218,4.350,2.746,8.417,3.876,5.395,5.574,4.870,4.832,4.651,5.060
PER00429,4.326,4.776,5.757,2.864,1.732,2.473,2.944,7.511,3.315,4.867,4.954,4.126,4.821,3.615,4.559
PER00430,3.689,4.693,3.408,3.172,2.553,3.828,3.540,7.964,4.198,4.539,5.519,3.815,4.875,3.785,4.929
PER00431,4.403,4.215,4.748,3.556,2.407,3.726,2.903,7.447,3.687,4.380,5.178,3.855,4.153,3.795,4.008
PER00432,4.084,5.185,2.611,3.428,3.294,4.195,2.989,8.081,3.212,5.044,5.833,4.260,4.269,4.232,4.051
PER00433,4.951,4.755,5.235,2.577,1.800,2.365,3.059,7.204,3.281,4.592,4.969,3.910,4.390,3.710,4.316
PER00434,3.590,2.949,2.232,2.687,3.848,3.174,2.827,7.571,3.352,4.576,5.177,3.973,4.829,3.835,4.154
PER00435,2.119,4.758,6.383,2.324,1.732,3.082,3.412,7.945,2.410,4.618,4.753,3.517,4.774,2.684,4.563
PER00436,4.767,4.008,3.220,4.863,3.963,4.375,3.847,8.623,5.225,4.935,6.443,4.196,4.399,4.266,4.418
PER00437,4.244,3.967,4.883,3.096,2.862,2.802,3.818,7.999,3.763,4.795,5.431,4.107,4.770,3.390,4.272
PER00438,4.069,1.654,3.369,2.971,2.270,2.255,2.333,8.219,3.399,4.477,5.306,3.850,4.835,3.993,4.869
PER00439,4.722,3.526,3.953,2.483,3.111,3.365,3.439,7.974,3.349,4.642,5.672,4.169,4.706,3.975,3.976
PER00440,3.576,3.931,3.856,3.209,1.626,3.076,2.827,7.460,3.705,4.404,5.312,3.922,4.519,3.581,4.324
PER00441,4.964,3.968,4.126,3.556,2.667,2.385,3.720,7.746,3.891,5.011,5.619,3.937,4.513,3.793,4.321
PER00442,3.817,3.187,3.643,2.285,1.702,4.825,2.298,8.498,3.155,4.663,4.868,4.184,4.542,3.621,4.125
PER00443,3.435,3.618,2.415,2.339,2.840,3.791,3.410,7.402,3.138,4.329,4.908,4.096,4.519,3.847,4.023
PER00444,2.512,5.133,2.678,2.648,3.253,3.603,3.023,7.668,3.387,4.664,5.216,3.841,4.355,3.427,4.021
PER00445,3.636,2.116,3.265,3.593,2.845,3.546,2.700,7.383,3.639,4.745,5.286,3.740,4.352,3.587,4.105
PER00446,4.853,3.442,3.068,3.520,2.216,3.291,3.497,7.714,4.613,4.302,5.665,3.935,3.974,3.908,3.817
PER00447,4.143,3.870,2.450,3.245,2.687,3.608,3.085,7.601,3.584,4.539,5.354,4.210,4.745,4.319,4.634
PER00448,3.015,5.035,3.912,4.075,2.504,3.913,3.930,7.722,4.257,4.083,5.304,3.803,4.025,3.351,4.013
PER00449,5.071,4.732,2.335,3.608,4.236,4.426,3.441,8.331,4.416,5.637,5.653,4.553,4.639,4.577,4.214
PER00450,3.684,3.372,2.030,2.702,2.865,3.044,3.416,8.120,4.007,4.598,5.433,4.176,4.775,3.886,4.356
PER00451,4.683,5.017,2.120,3.987,3.483,4.156,4.026,7.169,5.059,4.690,5.540,4.475,4.400,4.258,4.342
PER00452,5.227,4.406,3.215,2.584,3.100,4.371,3.568,8.166,3.309,5.243,5.594,4.523,4.679,4.318,3.900
PER00453,3.309,3.199,4.090,2.374,2.023,3.543,2.665,7.964,2.943,4.337,5.395,3.971,4.649,3.648,4.478
PER00454,4.118,2.751,4.124,3.494,1.851,2.189,3.987,7.879,4.261,4.451,5.701,3.783,4.515,3.536,4.377
PER00455,4.776,4.538,5.198,2.396,2.396,3.151,2.813,8.588,3.599,4.691,5.248,4.113,4.531,3.666,4.219
PER00456,3.360,3.356,2.601,3.644,2.818,4.001,3.791,8.607,3.968,4.960,5.476,4.097,4.433,3.699,4.307
PER00457,4.793,3.876,4.000,2.506,1.664,3.753,3.821,7.017,3.918,4.440,5.103,4.428,4.607,4.192,4.368
PER00458,4.856,2.794,2.285,3.446,3.152,3.787,3.615,8.306,4.926,4.362,5.983,4.361,4.518,4.381,3.817
PER00459,5.394,4.342,5.188,3.830,1.773,3.269,3.024,7.675,4.668,4.639,5.415,4.196,4.628,3.889,4.196
PER00460,4.039,5.304,4.480,3.290,2.107,3.424,3.071,7.964,3.099,4.417,4.803,4.077,4.608,3.577,4.042
PER00461,3.593,3.701,2.933,3.100,1.768,3.018,2.132,8.101,3.816,4.456,5.574,4.017,4.292,3.702,4.140
PER00462,4.703,4.849,2.684,4.051,3.371,4.571,4.143,8.273,4.782,4.728,6.055,4.536,4.416,4.178,4.394
PER00463,5.290,3.658,4.374,2.851,2.466,3.094,2.785,7.644,3.203,4.579,4.878,4.563,4.771,4.214,4.723
PER00464,3.606,3.525,4.670,2.646,1.606,4.095,2.944,8.164,3.170,4.593,5.144,3.797,4.364,3.366,4.244
PER00465,2.889,3.866,1.435,3.071,2.504,2.675,3.659,6.573,3.813,4.638,4.979,3.995,5.069,3.919,4.706
PER00466,3.339,4.974,2.237,2.767,2.681,3.998,2.880,8.611,3.356,4.550,5.557,4.215,4.445,3.946,4.049
PER00467,3.706,4.816,2.065,2.619,2.159,3.792,2.624,7.931,3.011,5.189,5.569,4.148,4.647,3.885,4.328
PER00468,3.603,4.206,2.969,2.239,1.950,2.779,1.780,8.071,3.315,4.517,5.025,4.020,4.415,3.681,4.403
PER00469,5.066,3.309,4.669,2.718,2.012,3.450,2.340,7.958,3.118,4.574,5.479,3.889,4.319,3.878,4.298
PER00470,4.879,5.451,5.192,3.068,1.121,3.176,3.182,8.108,3.767,5.247,5.898,4.090,4.342,3.869,4.735
PER00471,5.446,3.355,3.869,2.712,3.311,2.784,3.475,8.050,3.464,4.517,4.986,4.159,4.996,4.420,5.085
PER00472,4.028,2.485,3.690,2.197,1.000,2.172,2.973,7.964,4.098,4.296,5.929,3.787,4.446,3.660,4.601
PER00473,4.132,4.772,2.682,3.934,2.720,4.225,2.767,8.404,3.979,4.904,5.962,4.421,4.626,4.004,3.961
PER00474,3.755,2.390,4.365,3.037,2.190,3.576,3.249,7.153,3.284,4.461,4.534,3.900,4.265,3.751,4.590
PER00475,4.431,2.817,4.424,3.174,2.578,2.823,3.640,8.025,3.883,4.698,5.607,4.334,4.401,3.663,3.965
PER00476,4.730,3.024,4.837,2.141,2.278,3.555,2.551,7.880,3.067,4.440,5.225,3.811,4.676,3.948,4.696
PER00477,3.469,3.423,6.081,1.105,1.000,1.535,2.269,7.695,2.089,4.422,5.094,3.510,4.876,3.243,4.835
PER00478,5.277,4.691,2.681,3.733,3.858,4.244,3.868,7.447,3.947,4.277,5.572,4.504,4.179,4.605,4.651
PER00479,5.629,3.725,4.329,3.260,2.435,2.856,3.410,8.097,4.777,5.094,6.186,4.330,4.118,4.383,4.278
PER00480,3.106,2.873,3.438,3.192,2.758,2.690,2.637,7.531,3.571,4.239,4.859,3.792,4.017,3.623,4.398
PER00481,4.336,4.058,3.201,3.285,1.875,3.228,4.148,8.191,4.003,4.178,5.577,3.962,4.456,3.864,4.613
PER00482,4.557,2.546,2.979,3.004,3.751,3.280,3.461,7.901,3.404,4.618,5.195,4.063,4.857,3.935,4.466
PER00483,2.837,3.867,4.429,2.339,1.345,2.404,3.103,8.288,3.116,4.017,4.465,3.579,4.408,3.251,4.616
PER00484,1.876,3.509,4.199,3.041,1.481,2.790,2.099,8.130,3.217,4.677,5.474,3.419,4.440,2.946,4.367
PER00485,4.530,5.361,4.086,3.533,2.734,3.243,2.660,8.034,3.462,3.869,5.131,4.035,3.962,4.049,4.350
PER00486,5.225,5.752,2.798,4.174,3.203,3.934,4.809,6.998,5.674,4.796,5.713,4.613,4.130,4.415,3.879
PER00487,5.772,3.538,4.116,2.910,2.544,2.906,3.199,7.372,4.154,4.203,5.129,3.982,4.362,4.192,4.678
PER00488,6.411,2.904,2.303,3.635,3.747,3.701,2.752,8.487,4.373,5.300,5.670,4.796,4.383,4.821,4.318
PER00489,3.580,4.348,5.966,2.195,2.626,3.437,2.825,7.196,3.623,4.052,5.232,3.696,4.208,2.856,3.296
PER00490,2.699,6.095,2.095,2.504,3.342,3.440,2.350,7.834,3.631,4.647,5.135,3.981,4.530,3.261,4.099
PER00491,3.767,4.335,2.871,3.275,2.589,3.775,2.473,7.499,3.568,3.644,4.972,3.919,4.189,3.851,4.074
PER00492,4.394,2.964,4.567,2.552,3.260,3.679,3.793,7.620,3.316,4.413,5.135,3.851,4.222,3.649,4.186
PER00493,3.414,4.122,6.230,1.609,1.770,2.490,2.237,8.047,2.411,4.228,4.953,3.763,4.557,3.335,4.582
PER00494,2.281,3.453,3.420,2.611,3.104,3.393,2.495,8.079,2.744,4.554,5.142,3.573,4.220,3.004,4.245
PER00495,5.391,4.574,4.925,4.818,2.256,3.928,4.116,7.620,5.139,4.515,5.573,4.160,4.333,3.800,4.133
PER00496,4.193,5.221,5.777,2.192,2.238,3.295,2.790,7.966,2.996,4.352,5.276,3.990,4.750,3.542,4.278
PER00497,2.320,3.792,3.374,2.360,3.375,3.558,2.522,7.810,3.041,4.146,5.127,3.765,3.998,3.257,4.041
PER00498,4.143,3.874,3.278,3.685,1.932,3.233,3.334,8.088,3.680,5.159,5.421,3.792,4.276,3.603,3.852
PER00499,5.260,5.712,4.649,3.621,3.665,3.522,3.545,8.004,4.190,5.039,5.661,4.638,4.741,4.017,4.467
PER00500,5.970,2.508,2.504,4.034,2.968,2.639,4.110,8.629,5.192,5.121,6.064,4.468,5.059,4.678,4.050
PER00501,4.801,5.150,3.634,3.027,3.082,4.305,3.719,8.460,3.659,4.836,6.112,4.402,4.768,3.889,4.524
PER00502,3.026,5.451,4.153,3.358,2.346,3.897,3.280,8.497,3.924,3.945,4.635,3.920,4.786,3.348,4.722
PER00503,4.699,4.715,5.457,3.714,2.460,3.936,3.773,7.147,3.808,3.964,4.891,4.191,4.599,3.673,4.799
PER00504,1.775,2.131,5.030,1.443,1.573,2.487,1.555,7.772,1.331,3.978,4.642,2.932,4.183,2.591,4.319
PER00505,5.587,4.791,3.914,3.072,2.298,3.953,3.063,7.731,3.914,5.110,5.052,4.636,4.579,4.366,4.518
PER00506,3.953,4.592,4.896,3.806,1.729,2.527,3.189,8.162,4.250,4.917,5.537,4.030,4.520,3.374,3.881
PER00507,2.738,4.791,4.837,3.101,1.811,3.981,2.756,8.103,3.548,4.651,5.516,3.834,4.535,3.009,3.824
PER00508,4.801,1.817,5.266,2.549,2.502,3.335,3.387,8.270,3.897,4.670,5.773,3.682,4.459,3.520,3.514
PER00509,5.283,3.598,3.965,2.554,3.349,3.932,2.907,8.584,3.613,4.962,5.683,4.576,4.624,4.201,4.253
PER00510,2.738,4.973,2.537,3.426,1.632,3.615,2.704,8.677,4.047,4.282,5.414,3.970,4.514,3.475,4.334
PER00511,5.865,3.073,4.834,3.424,2.264,3.800,4.245,7.583,4.686,4.751,6.013,4.072,4.088,4.115,4.361
PER00512,5.200,3.884,3.263,3.925,2.651,4.556,4.219,8.242,5.125,5.204,5.968,4.704,5.120,4.602,4.640
PER00513,2.377,2.927,3.708,2.965,1.417,2.500,2.771,8.142,3.279,4.757,4.711,3.282,4.432,3.246,4.523
PER00514,3.993,2.732,5.343,2.202,1.713,2.401,2.291,7.517,3.571,4.407,5.175,3.623,4.574,3.272,4.150
PER00515,2.981,4.133,5.148,3.447,1.651,2.595,2.750,7.605,3.163,4.332,5.086,3.465,4.190,3.127,4.170
PER00516,4.471,3.977,4.177,2.383,1.635,2.798,3.115,8.149,3.445,4.677,5.895,4.034,4.716,3.967,4.235
PER00517,4.163,4.747,3.416,3.489,2.602,2.790,3.473,7.665,4.691,4.465,5.943,4.207,4.434,3.987,5.023
PER00518,3.958,3.379,2.911,3.265,2.088,4.187,3.065,7.690,3.665,4.921,4.816,3.803,4.294,4.000,4.640
PER00519,3.697,3.755,4.108,2.316,1.698,3.438,3.094,7.857,2.969,3.968,5.252,3.933,4.439,3.392,3.806
PER00520,5.652,4.841,4.250,3.108,3.145,4.065,3.104,7.151,3.789,4.597,5.058,4.563,4.558,4.152,3.998
PER00521,4.248,3.356,3.896,3.054,1.546,2.603,3.909,7.892,3.907,4.725,5.800,3.930,4.228,3.548,4.045
PER00522,3.560,3.656,4.453,2.622,2.314,3.011,2.424,7.668,2.953,4.069,4.411,4.136,4.592,3.643,4.141
PER00523,5.451,4.269,4.246,3.109,2.675,3.793,3.547,8.209,3.745,4.721,5.853,4.230,4.302,4.139,3.865
PER00524,3.951,2.645,4.073,2.088,2.195,2.889,2.990,7.993,3.530,4.467,5.100,3.892,4.248,3.478,3.971
PER00525,4.127,5.966,3.000,3.700,3.326,3.277,3.395,7.612,4.266,4.902,4.869,4.371,4.406,3.969,4.431
PER00526,4.281,3.917,4.186,3.231,2.195,3.442,3.820,8.713,4.420,4.606,6.128,4.004,4.745,3.783,4.592
PER00527,5.507,4.845,3.544,3.277,3.657,3.968,2.718,7.779,4.267,4.162,5.045,4.292,4.191,4.121,4.298
PER00528,4.498,3.353,4.433,3.382,1.872,2.708,3.437,8.480,4.121,4.738,5.952,4.020,4.482,3.639,4.279
PER00529,3.396,6.083,2.534,2.858,3.697,4.873,2.916,8.039,3.581,4.154,5.364,4.151,4.008,3.590,4.191
PER00530,4.672,3.200,2.932,3.058,2.261,4.407,3.450,8.162,3.812,4.378,5.106,4.061,4.359,4.047,4.019
PER00531,4.232,4.567,2.236,3.357,2.797,3.735,3.672,8.538,4.392,4.676,5.116,4.080,4.097,4.081,4.270
PER00532,4.435,5.463,4.740,3.061,2.275,3.686,3.423,7.065,3.249,3.733,4.853,3.970,4.329,3.481,4.906
PER00533,5.005,6.763,3.187,4.044,3.242,4.476,3.510,8.533,4.864,5.284,5.968,4.511,4.459,3.956,4.208
PER00534,3.311,4.869,3.975,2.033,1.980,3.449,1.722,8.515,2.818,4.211,5.077,3.831,4.267,3.194,3.422
PER00535,4.798,5.184,4.244,2.653,2.576,4.139,2.980,8.190,3.753,5.158,5.154,4.432,4.809,4.047,4.674
PER00536,1.853,1.821,5.142,2.062,1.000,1.579,2.276,7.900,2.904,3.530,5.166,3.024,4.573,2.697,4.033
PER00537,5.559,3.973,2.006,4.423,2.730,3.656,3.576,7.025,4.446,5.068,5.665,4.663,4.822,4.623,4.479
PER00538,1.726,5.620,5.594,1.573,1.914,4.019,2.177,9.073,2.333,4.201,5.440,3.368,4.625,2.484,4.516
PER00539,5.448,3.231,4.943,3.712,3.542,3.428,4.267,7.547,4.363,4.450,5.211,4.243,4.719,4.028,3.724
PER00540,5.045,3.254,4.416,2.373,2.144,2.875,3.312,7.809,3.701,5.040,5.774,4.189,4.620,3.893,4.440
PER00541,3.999,4.889,3.106,3.765,3.116,3.867,4.097,7.723,4.143,4.897,5.745,4.244,4.544,3.684,4.237
PER00542,3.452,3.563,2.614,2.067,2.432,3.581,2.470,7.603,3.085,4.908,5.195,4.352,4.584,3.831,4.543
PER00543,2.541,3.802,1.622,2.882,3.087,3.752,3.129,7.688,3.250,4.294,4.949,3.953,4.639,3.970,4.543
PER00544,3.504,4.749,1.622,3.368,3.412,4.582,3.215,7.471,3.618,4.815,5.334,4.315,4.441,4.101,4.329
PER00545,4.130,4.378,3.864,3.902,2.234,4.251,4.074,7.684,4.167,4.552,5.164,4.125,4.380,3.631,3.722
PER00546,4.216,3.196,1.878,3.211,2.453,4.229,3.764,7.944,4.478,4.385,5.073,4.191,4.342,4.290,4.384
PER00547,2.829,3.139,4.156,1.556,2.824,2.527,2.145,7.113,2.135,4.996,4.883,3.581,4.495,3.213,4.006
PER00548,4.482,3.824,3.928,3.321,2.538,3.911,3.501,8.445,4.010,4.744,5.537,3.942,4.211,3.958,4.272
PER00549,5.098,5.454,3.846,3.512,3.658,4.184,3.137,8.039,4.378,4.623,5.485,4.423,4.261,3.905,4.199
PER00550,3.417,2.423,4.341,2.842,1.964,3.244,2.986,7.244,3.007,4.209,4.521,3.550,4.490,3.331,4.294
PER00551,4.343,4.883,2.464,3.018,2.465,4.054,2.958,7.637,4.465,4.774,5.117,4.168,4.293,4.582,4.894
PER00552,4.334,3.885,4.386,2.467,2.377,4.928,2.815,8.566,3.334,5.371,6.012,4.366,4.629,3.837,4.664
PER00553,4.585,4.001,3.445,2.803,3.205,3.259,4.124,7.935,4.181,4.459,5.151,4.286,4.273,4.047,4.371
PER00554,3.444,4.102,5.084,2.589,2.333,3.589,3.115,8.604,3.197,3.825,5.392,3.732,4.520,3.138,3.780
PER00555,4.070,4.030,3.294,3.243,3.415,2.687,2.065,8.096,3.169,4.427,4.991,4.114,4.472,3.761,4.521
PER00556,4.175,4.109,4.686,3.515,1.971,3.390,2.825,7.716,3.668,4.689,5.299,3.678,4.641,3.462,3.705
PER00557,5.058,3.791,1.587,2.826,3.553,4.055,3.827,8.580,4.182,4.477,5.977,4.073,4.187,4.268,3.408
PER00558,3.576,4.190,4.699,3.340,2.015,2.793,2.777,7.472,3.317,4.433,4.750,4.000,4.548,3.244,3.651
PER00559,1.778,3.780,3.050,2.717,2.915,4.097,2.791,7.916,3.206,3.552,4.985,3.451,4.333,3.028,4.006
PER00560,2.710,4.101,6.119,2.086,2.127,2.733,2.054,7.256,3.108,3.753,4.864,3.377,4.280,2.863,4.127
PER00561,3.643,5.392,3.460,3.767,3.145,4.621,4.161,6.544,3.949,4.454,4.568,4.190,4.299,3.692,4.248
PER00562,3.030,4.731,4.476,2.680,2.068,3.311,2.962,8.175,3.504,4.211,5.224,3.771,4.527,3.058,3.808
PER00563,5.455,3.279,2.711,4.454,3.837,3.756,4.368,8.402,5.149,4.538,6.395,4.592,4.587,4.519,4.684
PER00564,2.788,3.560,4.879,2.229,1.444,3.228,2.430,7.273,2.862,4.393,4.690,3.480,4.661,3.211,3.948
PER00565,4.225,2.849,2.303,3.712,2.666,2.855,3.512,7.791,4.463,4.667,5.818,4.226,4.832,4.117,4.508
PER00566,3.596,3.617,2.996,3.136,3.440,2.358,3.250,7.475,3.491,4.519,5.519,4.240,4.046,3.856,4.253
PER00567,5.226,3.922,2.530,2.674,3.117,4.678,2.707,7.807,3.722,5.675,5.113,4.621,4.749,4.526,4.054
PER00568,4.715,4.461,4.118,3.525,3.398,2.931,3.601,7.943,4.251,4.468,5.282,4.297,4.452,3.956,4.174
PER00569,5.088,3.828,2.352,3.110,3.132,3.360,2.724,8.256,4.062,4.758,5.426,4.392,4.419,4.163,3.638
PER00570,3.935,5.271,6.811,3.166,1.923,3.427,3.817,8.780,3.027,4.251,5.506,3.995,4.219,3.089,3.863
PER00571,3.187,4.835,2.599,4.017,2.108,4.043,3.394,7.223,4.742,4.609,4.882,4.189,4.519,3.775,4.878
PER00572,4.649,3.940,3.598,2.898,2.894,3.844,2.652,8.098,4.133,4.809,5.398,4.154,4.466,3.817,3.746
PER00573,4.571,4.554,1.781,3.989,2.657,5.451,3.752,7.831,4.794,4.827,5.863,4.496,4.362,4.161,3.849
PER00574,4.856,4.095,1.937,3.048,3.193,3.608,3.319,8.062,3.903,5.176,5.665,4.587,4.646,4.550,4.177
PER00575,3.854,4.153,3.760,3.033,3.474,4.067,3.501,7.171,3.626,4.289,4.553,4.304,4.360,3.780,4.136
PER00576,3.137,4.421,3.862,3.338,2.489,3.006,2.970,7.792,3.157,4.188,5.302,3.748,4.494,3.173,4.247
PER00577,4.240,4.522,4.240,3.343,2.818,2.857,2.829,7.226,3.928,4.401,5.351,4.129,4.647,3.857,4.098
PER00578,4.564,4.181,2.497,3.603,3.579,5.163,3.172,7.721,4.260,5.150,5.868,4.369,4.651,4.287,4.672
PER00579,5.080,6.837,3.281,3.718,2.856,4.130,3.094,7.714,4.430,4.937,5.392,4.637,4.113,3.987,3.490
PER00580,4.490,2.344,4.236,2.675,2.214,4.030,2.416,7.984,3.705,4.551,5.699,3.966,4.147,3.675,4.053
PER00581,4.002,4.264,2.083,3.866,3.673,3.509,3.559,7.814,3.980,4.818,5.913,4.369,4.288,4.027,4.410
PER00582,2.947,2.234,4.482,1.092,1.237,1.602,2.401,7.611,2.537,4.416,4.622,3.237,4.685,3.055,4.493
PER00583,3.351,4.416,2.740,2.741,2.350,3.618,3.061,7.537,3.652,4.584,4.935,4.050,4.408,3.531,4.035
PER00584,3.745,4.708,4.705,2.394,2.964,4.239,2.596,7.409,3.220,4.523,4.962,4.177,4.536,3.511,4.705
PER00585,2.792,4.362,4.240,3.563,1.372,3.108,3.040,8.065,3.235,3.861,4.832,3.627,4.251,3.212,4.588
PER00586,2.980,5.028,2.927,3.273,2.520,4.211,2.423,7.639,4.414,4.564,5.406,4.337,4.645,3.609,4.599
PER00587,3.183,2.143,4.943,2.083,2.455,2.939,2.004,8.411,3.295,3.900,4.929,3.493,4.369,3.551,4.299
PER00588,5.157,3.821,3.476,2.545,2.134,3.229,3.713,8.180,3.290,4.699,5.763,4.380,4.392,4.345,4.375
PER00589,4.474,3.752,3.028,3.006,3.234,4.524,3.675,8.564,3.759,4.257,5.489,3.974,3.885,4.397,4.396
PER00590,2.553,3.944,3.690,1.446,1.142,2.818,2.125,7.490,2.090,4.607,5.126,3.837,4.676,3.347,4.652
PER00591,2.547,3.439,3.727,3.131,2.141,3.207,2.239,8.635,3.452,3.998,5.027,3.505,4.222,3.040,4.387
PER00592,6.001,5.119,3.291,4.223,3.525,5.035,4.413,7.633,5.170,5.382,6.166,4.955,4.580,4.455,4.231
PER00593,4.653,4.001,2.440,2.949,3.363,2.334,2.807,7.238,3.696,4.883,5.236,4.244,4.396,4.141,4.469
PER00594,5.734,4.599,4.193,2.642,3.118,3.302,3.713,6.599,4.444,5.249,5.477,4.281,4.262,4.312,4.674
PER00595,5.240,3.947,3.252,3.589,3.552,4.043,3.375,7.751,4.313,5.332,5.572,4.570,4.812,4.496,4.918
PER00596,4.435,3.556,2.630,2.744,3.241,2.651,2.940,7.306,2.963,5.071,5.391,4.320,4.403,4.213,4.072
PER00597,4.811,4.632,2.762,4.136,3.320,3.646,3.388,7.524,4.269,4.729,4.989,4.032,4.339,4.221,4.438
PER00598,4.017,4.136,2.071,3.714,2.472,4.099,2.780,7.973,3.880,4.519,5.540,3.955,4.463,4.049,5.027
PER00599,3.726,3.333,3.173,2.887,1.594,3.357,2.563,8.362,3.359,4.305,5.247,3.938,4.810,3.780,4.035
PER00600,2.958,5.033,3.772,2.892,2.085,4.524,1.909,8.353,3.488,4.543,5.149,3.892,4.566,3.397,4.365
PER00601,3.013,3.982,3.944,1.912,2.170,3.001,2.029,8.416,3.264,4.663,5.404,3.607,4.309,3.199,3.468
PER00602,4.263,2.013,2.356,2.902,1.780,2.225,3.422,7.520,3.088,4.895,5.200,3.735,4.149,4.185,4.404
PER00603,3.741,3.006,4.128,1.938,1.609,2.558,2.980,7.422,3.617,4.029,5.295,3.561,4.242,3.504,4.395
PER00604,4.601,4.352,1.603,3.772,3.015,4.519,3.432,6.953,4.426,4.148,4.843,4.340,4.337,4.182,3.996
PER00605,5.389,3.097,2.842,2.934,2.935,2.469,3.517,8.657,3.456,5.104,5.844,4.522,4.733,4.236,3.793
PER00606,4.755,5.168,5.130,3.204,2.656,4.361,3.578,7.413,3.785,5.042,5.287,4.070,4.111,3.915,4.443
PER00607,2.342,5.352,3.576,2.052,2.988,3.787,2.213,8.359,3.007,4.390,4.549,3.986,4.626,3.308,4.827
PER00608,4.166,2.666,5.815,2.523,1.884,4.440,2.447,7.382,3.293,4.757,5.342,3.698,4.410,3.461,4.203
PER00609,3.325,3.422,2.936,2.361,1.793,3.500,3.104,7.860,4.004,4.354,5.245,3.717,4.446,3.698,4.437
PER00610,4.684,4.253,1.860,3.674,2.938,4.838,4.095,7.340,4.389,4.255,5.164,4.209,4.424,4.479,4.186
PER00611,3.541,3.185,4.548,3.057,3.090,4.185,2.825,7.341,3.685,4.302,5.695,3.823,4.698,3.353,3.546
PER00612,4.732,4.624,3.515,3.548,3.688,3.877,3.949,7.887,4.204,4.558,5.225,4.324,4.612,3.954,4.373
PER00613,4.331,4.060,4.378,2.570,3.431,3.000,3.329,6.890,3.650,4.798,5.146,3.985,4.173,3.791,4.573
PER00614,4.163,3.084,3.107,3.785,2.575,3.388,3.229,7.732,4.439,5.134,5.653,4.231,4.377,4.090,3.885
PER00615,5.157,3.816,3.519,2.867,2.721,3.914,3.055,7.336,3.775,5.050,5.189,4.342,4.511,4.244,4.112
PER00616,2.959,3.351,3.731,2.906,2.290,2.968,2.838,8.756,3.303,4.157,5.325,3.486,4.388,3.371,4.853
PER00617,5.150,1.844,2.567,3.133,2.611,3.276,3.612,7.906,4.496,4.564,5.660,4.518,4.366,4.644,4.268
PER00618,3.663,5.281,3.824,2.794,1.967,3.311,2.119,6.702,2.881,3.788,4.510,3.715,4.461,3.462,4.865
PER00619,4.348,3.557,2.894,4.139,2.455,2.995,4.288,7.539,4.724,4.365,6.129,4.061,4.510,3.904,4.094
PER00620,5.368,5.012,3.442,2.975,3.649,4.311,3.216,7.476,4.046,4.602,5.404,4.305,3.983,4.189,3.640
PER00621,4.819,4.846,3.364,4.646,3.874,4.024,4.183,7.745,5.184,4.627,5.261,4.334,4.257,4.287,4.301
PER00622,4.786,3.597,5.912,3.021,2.016,2.337,3.411,7.667,3.682,4.405,5.412,3.781,4.906,3.611,4.346
PER00623,4.258,5.259,1.565,4.052,3.350,4.012,4.266,6.960,4.729,5.326,5.573,4.569,4.744,4.419,4.771
PER00624,3.037,3.790,3.569,2.188,2.943,3.705,2.007,7.391,2.730,4.647,4.829,3.887,4.429,3.442,4.289
PER00625,4.827,2.188,5.135,2.845,1.914,1.821,3.054,7.773,3.402,4.373,5.320,3.590,4.213,3.539,3.708
PER00626,2.646,3.612,3.888,1.920,2.209,2.684,2.164,8.311,3.181,4.512,5.132,3.554,4.262,3.227,4.234
PER00627,5.531,4.354,2.871,2.948,3.127,4.794,2.674,6.857,4.073,5.303,4.877,4.935,4.383,4.681,4.156
PER00628,2.777,3.863,3.866,2.363,2.962,4.497,2.802,8.199,2.702,4.560,5.150,3.895,4.662,3.540,4.789
PER00629,4.265,3.849,2.768,3.131,2.970,4.446,4.123,8.138,3.439,5.240,5.280,4.528,4.575,4.027,4.150
PER00630,4.196,3.162,2.044,2.345,3.797,3.240,2.548,7.948,3.566,4.448,5.187,4.389,4.553,4.053,4.388
PER00631,6.081,4.685,4.746,3.739,3.182,4.645,4.012,8.214,4.395,5.066,6.060,4.529,4.678,4.394,4.387
PER00632,4.734,1.649,2.826,3.098,2.656,3.022,3.582,7.142,3.870,4.810,4.195,3.964,4.483,4.225,4.079
PER00633,2.310,4.397,4.758,2.435,1.772,4.463,2.793,7.867,3.608,4.133,5.319,3.675,4.567,2.715,3.736
PER00634,3.761,5.063,3.647,3.077,2.542,3.306,2.573,8.322,3.173,4.698,5.060,4.009,4.609,3.702,4.374
PER00635,2.225,4.171,3.600,2.947,1.793,3.025,3.236,7.043,3.146,3.935,4.715,3.342,4.459,2.869,3.783
PER00636,3.600,3.964,4.572,2.817,2.275,1.938,3.886,6.511,3.883,4.023,4.935,3.690,4.149,3.606,3.983
PER00637,4.035,4.705,3.979,2.812,2.421,3.565,2.695,7.873,3.580,4.781,5.184,3.970,4.575,3.667,3.927
