person_id,self_system_context,self_warmth,self_conscientiousness,self_emotional_stability,self_openness,other_warmth,other_conscientiousness,other_emotional_stability,other_openness,actual_self,ideal_self,ought_self,self_esteem,social_recognition,external_devaluation,well_being,warmth_gap,conscientiousness_gap,emotional_stability_gap,openness_gap,self_other_gap_mean,self_knowledge_accuracy,actual_ideal_discrepancy,actual_ought_discrepancy,total_self_discrepancy,self_concept_positivity
SCS0231,developmental_self_revision_context,3.931,3.560,4.534,4.023,3.690,3.054,3.729,3.225,4.068,6.079,6.297,1.746,4.079,1.850,1.752,0.241,0.506,0.806,0.798,0.588,0.902,2.011,2.230,2.120,4.012
SCS0232,developmental_self_revision_context,3.479,4.645,3.548,4.179,3.723,4.143,3.325,3.918,4.300,6.512,6.292,2.182,4.120,3.329,1.499,0.244,0.502,0.223,0.262,0.308,0.949,2.212,1.992,2.102,3.963
SCS0233,developmental_self_revision_context,4.881,5.293,4.182,4.113,4.822,5.602,2.993,3.796,4.864,6.880,6.899,2.933,4.264,1.659,2.012,0.060,0.309,1.189,0.317,0.469,0.922,2.016,2.035,2.026,4.618
SCS0234,developmental_self_revision_context,4.660,4.552,4.047,3.919,4.051,4.174,3.729,3.590,4.242,6.188,5.701,3.578,3.902,1.995,2.144,0.609,0.378,0.319,0.329,0.409,0.932,1.946,1.460,1.703,4.294
SCS0235,developmental_self_revision_context,5.349,4.803,4.292,5.017,5.644,5.417,3.968,5.280,4.509,6.736,6.037,3.006,3.798,2.027,1.569,0.296,0.614,0.324,0.263,0.374,0.938,2.227,1.527,1.877,4.865
SCS0236,developmental_self_revision_context,5.333,5.393,4.265,5.152,4.847,4.211,3.856,4.764,4.863,6.444,5.486,2.836,4.259,2.517,1.776,0.486,1.182,0.410,0.388,0.616,0.897,1.581,0.623,1.102,5.036
SCS0237,developmental_self_revision_context,5.098,4.679,4.768,5.126,3.701,4.029,3.952,3.466,5.102,6.928,6.277,2.821,3.955,1.859,1.563,1.397,0.650,0.816,1.660,1.131,0.812,1.827,1.175,1.501,4.918
SCS0238,developmental_self_revision_context,5.326,5.081,4.482,4.976,4.785,4.093,3.803,4.965,4.771,6.698,5.221,2.953,3.554,2.312,2.485,0.541,0.988,0.679,0.011,0.555,0.908,1.927,0.450,1.189,4.966
SCS0239,developmental_self_revision_context,5.852,4.933,5.085,4.842,4.908,4.607,5.239,3.972,5.131,6.897,6.488,2.652,4.034,2.972,2.134,0.944,0.325,0.154,0.870,0.573,0.904,1.766,1.356,1.561,5.178
SCS0240,developmental_self_revision_context,5.014,5.491,3.979,4.956,3.613,4.708,3.168,4.122,5.229,6.589,5.843,3.067,3.698,2.639,2.427,1.401,0.783,0.811,0.834,0.957,0.840,1.360,0.614,0.987,4.860
SCS0241,developmental_self_revision_context,3.902,4.890,4.133,5.281,4.714,4.166,3.754,6.254,4.726,6.393,6.190,2.979,4.135,2.464,2.450,0.812,0.723,0.379,0.973,0.722,0.880,1.667,1.463,1.565,4.551
SCS0242,developmental_self_revision_context,4.026,4.941,4.497,5.658,4.750,5.199,5.186,5.094,4.548,6.634,5.689,3.163,4.587,2.397,2.326,0.725,0.258,0.689,0.563,0.559,0.907,2.085,1.141,1.613,4.780
SCS0243,developmental_self_revision_context,3.484,4.272,3.225,4.883,4.146,3.932,2.595,4.988,3.800,4.992,4.700,3.082,3.877,2.356,2.464,0.661,0.339,0.630,0.105,0.434,0.928,1.191,0.899,1.045,3.966
SCS0244,developmental_self_revision_context,3.936,4.760,4.297,4.682,4.890,5.110,5.508,4.378,4.364,6.051,5.731,2.784,4.482,2.866,1.180,0.954,0.350,1.211,0.303,0.705,0.883,1.686,1.367,1.526,4.419
SCS0245,developmental_self_revision_context,4.845,3.784,3.886,4.193,6.275,3.626,4.073,5.145,4.644,6.409,6.467,2.404,4.126,2.497,1.244,1.430,0.159,0.186,0.952,0.682,0.886,1.765,1.823,1.794,4.177
SCS0246,developmental_self_revision_context,4.336,4.547,4.169,5.091,5.422,4.892,4.170,4.702,4.364,5.872,5.159,2.613,3.878,2.384,1.639,1.085,0.345,0.001,0.388,0.455,0.924,1.508,0.795,1.152,4.536
SCS0247,developmental_self_revision_context,4.664,4.696,4.997,4.231,5.010,4.955,4.754,5.357,5.018,6.298,5.667,3.432,4.541,2.734,1.539,0.345,0.259,0.243,1.127,0.493,0.918,1.281,0.650,0.965,4.647
SCS0248,developmental_self_revision_context,4.989,5.073,4.567,4.328,5.323,5.584,4.960,4.452,4.946,6.295,6.571,2.397,4.161,3.132,2.015,0.334,0.511,0.394,0.124,0.341,0.943,1.349,1.625,1.487,4.739
SCS0249,developmental_self_revision_context,4.742,3.710,5.015,4.466,5.676,3.394,5.070,4.667,4.388,4.952,5.020,3.127,3.536,2.610,2.223,0.934,0.316,0.055,0.201,0.377,0.937,0.564,0.633,0.598,4.483
SCS0250,developmental_self_revision_context,4.445,4.031,3.460,4.609,4.633,4.257,3.498,4.837,4.077,5.311,5.292,2.845,4.130,2.131,2.185,0.188,0.226,0.038,0.228,0.170,0.972,1.234,1.215,1.225,4.136
SCS0251,developmental_self_revision_context,4.568,4.912,4.512,4.948,4.267,5.236,4.027,5.507,4.814,5.361,5.486,2.809,4.373,2.152,2.116,0.301,0.324,0.485,0.560,0.417,0.930,0.547,0.672,0.609,4.735
SCS0252,developmental_self_revision_context,4.932,4.166,3.784,4.840,3.693,3.395,4.710,5.298,4.192,5.090,5.677,2.731,3.954,1.752,1.785,1.239,0.771,0.925,0.458,0.848,0.859,0.897,1.485,1.191,4.431
