respondent_id,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score,sociability_score,assertiveness_score,compassion_score,politeness_score,orderliness_score,industriousness_score,anxiety_score,volatility_score,aesthetics_score,intellect_score,outcome_score,broad_life_functioning,relationship_functioning,creative_engagement,emotional_distress,facet_profile_dispersion,hierarchy_consistency_index,bandwidth_fidelity_gap,domain_facet_alignment
FFM00269,5.081,3.226,5.137,1.986,3.238,5.413,4.896,3.200,3.254,4.975,5.558,2.918,2.770,3.484,3.910,5.049,4.383,4.285,4.665,2.331,0.346,6.221,1.770,6.621
FFM00270,2.994,4.358,4.939,3.231,3.907,2.877,3.085,6.317,4.812,4.933,4.982,3.634,4.154,4.293,3.188,3.628,3.228,4.214,3.889,4.482,0.677,6.464,2.822,6.315
FFM00271,3.415,3.151,4.629,4.122,4.598,4.261,4.032,2.359,4.109,4.378,4.630,3.978,4.807,4.775,4.556,3.070,2.767,4.128,5.806,4.762,0.656,6.341,2.927,6.136
FFM00272,2.386,4.162,1.824,4.027,4.606,3.034,2.358,4.414,3.613,2.199,3.314,4.770,4.698,3.843,3.982,2.831,2.688,4.264,5.184,4.679,0.561,4.804,2.271,5.840
FFM00273,5.687,4.424,3.210,4.919,4.624,5.751,4.646,3.833,4.237,3.539,3.673,5.081,5.104,3.901,4.306,2.876,3.723,4.330,5.908,4.747,0.414,5.631,1.976,5.703
FFM00274,2.626,2.418,4.293,2.131,2.891,3.175,2.241,2.613,2.257,5.000,4.282,3.195,2.335,3.492,2.703,3.852,2.836,3.426,3.183,2.802,0.731,5.847,1.569,6.555
FFM00275,5.577,4.500,3.164,3.987,3.565,4.421,4.793,3.994,4.559,2.834,3.543,4.602,2.770,3.997,4.128,2.911,3.216,4.362,3.799,4.055,0.722,5.721,1.579,5.971
FFM00276,2.985,4.296,3.971,3.511,4.003,2.694,2.402,3.672,4.618,4.266,3.788,4.498,3.509,4.497,4.474,3.593,4.262,4.251,4.895,4.019,0.546,6.256,1.890,6.593
FFM00277,3.862,1.991,4.134,4.581,3.527,3.767,4.065,3.113,3.804,4.692,3.872,4.439,3.918,4.402,3.876,3.584,2.858,3.997,5.397,5.357,0.571,5.236,2.676,5.741
FFM00278,2.888,2.962,5.917,3.070,5.318,3.751,2.842,2.845,3.401,5.411,5.153,3.119,3.537,5.237,4.372,4.699,3.636,2.679,5.939,2.562,0.601,6.093,2.765,6.334
FFM00279,5.198,4.193,3.235,4.509,4.844,5.560,5.008,3.865,4.153,2.979,3.965,5.456,4.377,5.367,5.314,2.359,3.758,5.061,6.571,5.734,0.592,5.733,2.448,6.336
FFM00280,3.899,3.020,2.361,3.986,4.084,3.296,4.043,3.459,2.661,3.555,3.589,3.517,4.525,4.331,3.832,3.194,3.098,2.802,4.844,4.487,0.617,5.906,2.564,6.374
FFM00281,3.061,3.258,4.861,4.952,5.767,3.375,2.855,4.092,3.901,4.189,3.934,4.423,5.562,5.851,5.306,3.547,4.430,3.707,6.572,5.448,0.530,6.294,2.710,6.241
FFM00282,5.276,4.392,4.493,2.455,5.743,4.974,5.407,4.317,4.833,3.749,4.036,3.732,3.269,4.223,5.282,3.587,4.326,5.003,5.164,4.132,0.552,5.777,2.314,5.702
FFM00283,5.086,4.140,4.943,3.708,4.730,4.856,4.833,3.254,3.800,5.952,4.596,3.685,4.141,4.502,4.892,4.006,3.801,4.712,5.155,3.759,0.554,5.778,2.376,6.300
FFM00284,6.101,5.491,5.232,2.674,4.116,5.999,4.774,5.412,4.055,4.586,5.215,2.010,3.012,3.822,4.135,4.250,5.182,5.963,4.956,3.264,0.905,5.930,2.311,6.013
FFM00285,4.278,4.358,2.183,4.383,3.657,3.967,3.561,3.901,3.500,3.087,2.848,4.261,5.297,3.498,3.854,2.480,3.752,3.578,4.746,4.170,0.488,5.738,2.132,5.869
FFM00286,3.127,2.733,4.524,4.444,4.525,2.343,3.203,4.190,3.020,3.864,3.666,5.317,5.703,5.194,4.321,3.389,3.086,3.668,5.200,5.833,0.698,5.229,2.608,5.205
FFM00287,3.970,2.430,2.491,4.622,4.608,4.461,3.482,4.153,3.501,2.290,3.257,3.934,4.630,5.232,4.555,2.563,2.309,4.161,6.345,4.492,0.794,5.400,1.893,5.799
FFM00288,4.755,4.446,4.311,3.727,4.457,5.238,4.582,4.759,4.160,5.321,4.016,3.975,2.932,4.248,3.642,3.512,2.733,4.015,4.875,4.008,0.842,6.020,2.415,6.619
FFM00289,5.004,5.395,3.128,3.500,2.533,5.349,5.735,5.145,4.776,2.960,3.967,3.853,3.830,3.562,3.244,2.739,3.411,5.670,4.198,3.916,0.421,6.372,2.610,6.244
FFM00290,4.439,4.497,4.829,3.840,6.127,4.056,4.683,5.404,4.645,3.968,4.235,4.178,4.234,5.321,5.688,3.383,3.635,4.431,6.498,3.986,0.415,5.871,2.561,5.970
FFM00291,3.433,4.160,3.769,4.702,5.477,3.321,2.336,5.098,3.840,4.291,3.814,5.006,3.469,5.217,4.917,3.647,3.387,4.689,5.857,4.929,0.911,6.222,1.267,6.397
FFM00292,5.394,1.507,3.739,3.509,3.090,4.677,5.166,2.121,2.678,3.791,3.665,3.238,4.702,4.316,4.020,3.747,2.998,3.979,5.086,3.864,0.586,5.062,1.838,5.447
FFM00293,4.264,5.365,4.124,3.935,3.631,4.497,4.040,4.938,5.307,3.566,3.912,4.631,3.641,3.279,3.761,3.545,3.715,5.443,4.992,4.069,0.529,5.847,2.272,6.392
FFM00294,4.190,5.750,4.726,2.860,3.438,4.204,4.172,5.622,5.472,3.167,3.398,3.392,3.371,3.750,4.050,2.668,4.348,5.314,3.958,3.623,0.147,6.091,2.897,5.906
FFM00295,5.037,3.364,2.428,3.199,2.090,4.345,4.333,2.696,2.820,2.113,3.692,3.618,2.422,2.732,2.312,3.412,3.212,4.059,4.035,3.857,0.666,5.475,2.943,5.689
FFM00296,3.059,4.214,4.498,2.835,3.239,3.661,3.736,3.027,5.469,4.311,5.246,3.566,3.325,2.946,4.019,4.243,4.409,3.783,4.033,3.118,0.953,6.029,2.088,6.437
FFM00297,4.183,4.376,4.202,3.675,5.029,4.807,3.463,3.922,3.539,4.340,4.336,2.674,4.300,4.265,5.581,3.621,3.666,4.679,5.709,3.442,0.934,6.319,2.383,6.798
FFM00298,3.232,5.628,3.172,4.795,4.620,3.183,3.423,4.767,4.321,3.353,3.234,5.126,6.069,3.963,3.673,2.300,2.868,4.296,4.686,5.638,0.408,5.701,2.068,5.612
FFM00299,5.912,5.882,4.416,4.003,1.888,5.809,5.199,3.561,5.393,5.323,3.891,3.629,3.825,2.467,3.090,3.517,5.102,5.405,3.254,3.974,0.939,5.789,3.178,5.654
FFM00300,4.185,4.441,3.815,3.566,2.638,3.388,3.828,4.035,3.333,3.940,4.108,3.516,4.123,3.179,3.222,4.500,3.715,3.295,3.727,3.602,0.392,5.799,2.329,6.085
FFM00301,4.910,3.706,2.716,3.723,5.522,4.968,3.518,2.789,3.617,3.720,3.264,4.268,4.535,5.466,4.682,3.027,4.196,3.795,6.166,3.976,0.757,5.872,2.072,5.805
FFM00302,4.233,4.622,3.420,6.072,3.653,4.964,4.914,5.381,3.837,3.623,3.632,5.375,5.064,3.987,3.920,3.281,3.290,4.908,4.067,5.567,0.396,5.793,1.135,6.568
FFM00303,5.258,4.197,5.541,4.385,4.050,5.505,4.537,4.223,4.288,5.167,4.823,4.649,4.572,4.027,2.094,4.265,3.909,4.581,4.894,5.109,0.677,6.351,2.364,6.131
FFM00304,2.377,3.804,2.465,3.422,2.800,3.501,3.141,4.734,3.614,2.987,4.067,2.873,3.692,2.883,2.945,2.485,2.616,3.616,3.027,4.256,0.688,5.104,1.489,5.608
FFM00305,3.519,4.909,6.581,3.857,4.461,3.385,3.474,4.318,3.900,5.962,5.996,4.157,4.577,3.659,4.572,5.785,4.167,5.010,4.984,3.127,0.375,6.550,2.317,6.390
FFM00306,4.005,3.346,4.784,4.236,5.680,5.456,4.630,3.271,4.190,4.430,3.826,4.481,4.130,5.172,4.020,4.112,3.145,4.242,5.661,4.536,0.770,5.221,1.819,5.382
FFM00307,4.860,3.281,2.800,4.147,6.393,4.238,4.485,3.195,3.676,2.423,2.919,4.019,4.143,6.318,5.811,2.405,3.803,3.014,6.808,4.761,0.371,5.475,1.187,6.250
FFM00308,3.394,6.511,3.113,4.323,5.761,4.232,3.373,5.959,7.000,2.834,3.210,4.891,4.527,4.867,5.806,3.000,3.336,5.455,5.665,4.777,0.716,5.645,0.959,6.114
FFM00309,4.776,4.124,4.724,4.307,3.342,4.788,4.089,4.227,3.634,4.545,3.940,5.025,4.006,2.974,2.723,2.613,3.194,5.384,3.762,4.768,0.633,6.433,2.814,6.405
FFM00310,3.819,3.485,3.868,5.426,4.105,4.015,1.830,4.016,3.818,3.707,3.414,5.129,4.462,3.347,3.515,3.642,2.091,4.147,4.739,4.813,0.702,5.604,1.989,5.909
FFM00311,4.759,4.031,2.477,3.163,3.890,3.502,3.806,5.325,4.820,2.569,3.131,3.535,3.506,3.432,3.816,1.838,3.613,3.796,4.576,2.577,0.357,5.383,2.179,5.776
FFM00312,3.506,2.454,5.404,4.160,4.549,4.232,3.498,3.627,3.315,5.849,5.418,3.625,3.788,4.208,5.041,4.419,3.987,3.330,5.933,4.479,0.495,5.640,2.668,6.054
FFM00313,4.669,4.671,4.100,4.348,3.620,4.194,3.598,3.917,4.691,3.584,4.394,4.398,5.471,4.176,3.466,4.492,3.581,4.265,4.013,5.048,0.793,5.549,1.709,5.847
FFM00314,2.174,3.542,5.835,2.773,2.560,2.726,2.730,3.256,3.726,5.308,5.155,3.241,4.163,2.088,2.881,4.108,2.927,2.738,3.949,2.874,0.469,6.029,3.714,5.971
FFM00315,4.141,3.323,4.597,2.384,3.967,3.778,4.483,3.418,4.202,3.968,4.749,2.862,2.214,3.526,4.158,3.877,3.896,4.016,4.996,1.674,0.710,5.923,2.105,6.489
FFM00316,4.252,5.464,4.316,3.367,4.557,3.566,3.419,5.152,4.176,3.916,4.114,3.206,3.645,4.586,5.478,4.023,2.883,5.540,5.604,3.756,0.530,6.209,1.649,6.043
FFM00317,4.372,5.105,3.597,4.128,6.005,3.937,5.020,4.522,4.400,3.763,4.332,4.206,4.625,4.745,5.688,2.772,4.486,5.238,5.898,4.031,0.627,5.853,1.972,6.020
FFM00318,3.324,2.378,5.475,1.693,4.370,4.154,2.600,3.046,2.924,5.127,5.165,3.335,2.032,3.268,3.889,4.688,4.745,4.532,4.959,1.499,0.728,6.194,2.224,6.021
FFM00319,3.670,3.587,3.189,3.561,5.470,3.919,4.115,3.032,3.502,5.091,3.256,3.697,3.543,5.502,4.278,2.979,4.057,3.800,5.414,3.641,0.776,5.652,1.649,5.825
FFM00320,5.923,4.235,5.293,4.228,2.469,5.427,5.493,4.946,2.719,4.168,6.016,4.514,4.339,3.771,3.133,4.570,4.031,4.978,3.094,4.694,0.991,5.997,2.619,5.909
FFM00321,3.690,4.221,4.645,2.819,5.364,3.613,3.566,4.725,3.276,5.306,4.659,3.674,4.136,4.656,4.884,4.071,4.041,4.390,5.258,4.167,0.567,6.448,1.797,6.107
FFM00322,5.464,5.588,3.068,4.914,5.278,5.149,5.497,5.021,5.131,2.167,3.713,4.169,4.607,3.291,4.046,2.714,4.084,5.627,5.398,4.045,0.639,6.303,1.666,6.044
FFM00323,4.476,4.978,4.893,3.840,4.566,4.375,3.505,4.996,4.395,4.198,5.507,4.024,4.478,3.502,5.414,4.427,3.930,4.830,4.921,4.174,1.029,6.136,1.790,6.283
FFM00324,4.143,4.703,3.579,5.408,3.461,4.457,3.515,5.358,4.242,3.462,5.270,5.701,4.255,3.457,3.987,3.816,3.522,3.967,4.529,4.565,1.168,6.062,1.969,6.286
FFM00325,5.317,3.814,1.842,3.967,3.569,4.851,3.822,4.374,4.618,2.496,3.199,4.299,3.839,3.967,3.776,3.362,3.675,4.419,5.165,4.462,0.525,5.698,3.241,5.810
FFM00326,5.937,4.708,2.661,2.726,4.500,5.347,4.739,4.397,3.175,2.881,2.535,1.966,3.293,5.273,4.318,2.420,4.627,4.810,6.093,3.114,0.892,5.171,2.070,5.761
FFM00327,4.149,2.392,2.536,4.732,4.778,3.573,2.812,4.390,3.245,3.349,3.147,4.959,4.098,4.444,5.093,1.606,3.225,3.412,5.201,5.529,0.724,5.477,2.320,5.602
FFM00328,1.447,2.783,4.218,3.280,4.329,2.268,2.035,2.456,3.980,4.017,3.968,3.005,3.430,3.268,4.145,4.544,3.190,3.022,3.967,3.666,0.622,5.983,1.934,6.183
FFM00329,4.980,3.696,3.846,5.158,3.146,4.278,4.319,3.153,4.389,3.450,3.494,5.680,4.871,2.396,3.691,2.282,4.069,3.547,4.529,4.864,0.685,6.210,3.419,6.423
FFM00330,3.643,4.174,3.643,2.817,4.504,3.177,3.814,4.847,3.892,3.850,4.081,2.907,3.655,3.780,4.698,3.448,3.824,4.261,5.559,3.681,0.698,5.780,1.908,6.058
FFM00331,3.071,3.690,3.856,3.287,4.336,3.476,2.585,4.115,3.500,4.375,3.369,3.645,3.630,4.155,3.331,3.878,4.485,3.918,4.673,3.458,0.670,5.473,1.502,6.455
FFM00332,2.262,1.844,3.674,4.633,3.518,3.388,2.979,2.591,2.260,3.571,4.181,3.948,3.545,4.392,3.909,4.230,1.540,3.547,4.636,4.618,0.447,5.472,2.190,5.834
FFM00333,4.267,5.500,5.200,4.675,3.509,4.062,3.839,5.010,5.504,4.915,5.011,4.535,3.947,4.132,4.980,4.721,3.865,5.048,4.436,4.886,0.450,5.865,2.241,5.980
FFM00334,4.461,4.274,4.171,4.078,5.544,4.229,4.428,3.581,5.083,3.790,3.824,3.646,4.069,5.360,5.268,2.867,5.008,3.555,6.492,3.512,0.450,5.987,2.710,6.662
FFM00335,3.696,2.327,3.034,3.192,4.562,3.079,4.571,2.905,3.715,3.423,3.594,4.200,3.818,4.598,3.885,2.495,3.612,3.353,5.453,4.474,0.713,5.661,2.396,5.471
FFM00336,4.870,3.139,3.681,3.723,4.656,5.700,4.757,2.888,3.612,3.141,5.056,4.151,3.914,4.174,5.603,3.814,4.044,3.600,5.240,4.047,1.050,5.512,1.654,6.174
FFM00337,4.422,5.902,4.232,5.287,4.681,3.860,3.854,4.606,4.840,3.546,3.085,5.239,4.457,4.250,3.649,2.452,3.879,4.726,5.247,5.384,0.417,5.474,2.656,5.097
FFM00338,4.789,4.669,6.208,3.397,2.832,3.223,4.785,4.570,4.867,6.082,5.656,4.511,4.846,3.511,2.950,4.223,5.125,4.551,3.772,3.951,0.636,6.059,3.431,6.093
FFM00339,3.376,4.145,4.022,4.487,2.034,3.727,2.045,4.206,3.621,3.787,4.981,3.624,4.165,3.037,3.157,4.087,2.320,4.413,3.605,4.869,0.824,6.512,1.964,6.051
FFM00340,3.541,4.242,3.913,4.480,4.803,4.263,3.654,4.154,3.520,4.017,4.017,5.115,4.085,4.878,4.704,3.903,3.120,3.831,5.238,4.133,0.489,6.599,1.646,6.721
FFM00341,4.984,5.049,6.722,2.826,5.731,5.526,5.055,4.057,4.294,5.347,6.556,1.971,4.285,5.898,5.653,4.991,4.878,4.576,6.046,2.737,0.895,6.054,3.272,5.755
FFM00342,3.800,3.845,3.800,4.090,4.812,3.958,3.539,4.423,4.654,2.869,3.253,4.088,2.865,4.773,5.012,3.224,3.159,3.283,5.200,3.896,0.499,6.528,2.407,5.922
FFM00343,6.610,2.313,4.651,3.917,5.579,6.384,5.806,2.607,2.805,3.348,4.759,3.948,4.025,4.321,4.358,3.171,4.925,4.834,5.872,4.130,0.460,5.782,2.613,6.034
FFM00344,4.073,4.191,3.557,3.528,4.845,3.454,4.249,4.127,4.056,4.307,3.712,3.871,3.272,4.991,5.508,3.756,3.350,4.428,5.849,4.357,0.515,5.753,1.805,6.445
FFM00345,2.981,4.314,5.990,5.065,2.866,2.380,3.558,4.868,4.333,6.056,5.752,4.724,5.150,3.579,4.004,3.179,2.524,4.056,3.989,4.978,0.574,6.502,4.667,6.426
FFM00346,4.693,3.444,4.006,3.792,5.238,3.494,4.105,3.710,3.729,4.050,3.684,4.890,4.135,5.474,5.326,4.028,3.283,3.691,5.996,5.242,0.380,5.645,1.131,5.824
FFM00347,5.846,4.632,3.023,4.091,3.913,4.604,5.223,4.574,4.974,2.456,2.523,4.834,3.893,3.331,4.109,2.291,3.609,4.865,4.032,4.768,0.561,5.856,1.983,6.083
FFM00348,4.313,3.392,4.005,4.580,4.793,4.400,3.649,4.277,3.962,3.964,3.540,4.029,4.431,4.665,4.554,3.021,3.651,3.541,5.494,4.829,0.400,5.423,1.531,5.970
FFM00349,4.505,2.521,3.680,2.663,5.076,4.819,4.944,3.405,2.848,4.283,4.870,2.775,3.144,4.059,5.210,4.336,3.448,3.594,4.224,3.865,0.558,5.170,2.304,5.703
FFM00350,2.983,4.858,2.351,4.784,3.114,2.444,3.834,4.891,4.607,3.204,2.583,3.903,3.310,2.141,3.936,2.331,3.525,4.533,4.092,3.941,0.937,5.541,1.603,6.175
FFM00351,4.577,5.507,3.421,2.386,4.301,4.145,4.151,5.077,5.162,3.922,2.706,2.132,2.649,4.575,3.747,2.980,3.967,5.016,4.908,2.749,0.531,6.286,1.823,6.446
FFM00352,3.057,3.378,4.955,4.231,2.547,2.832,2.721,2.495,2.245,4.152,4.394,4.589,3.982,3.098,2.365,3.367,2.879,2.415,2.870,4.737,0.389,5.785,2.711,6.163
FFM00353,4.891,4.201,5.554,4.243,4.328,3.873,4.004,4.631,4.827,5.683,4.042,3.810,3.076,3.626,3.888,4.257,3.507,4.881,4.740,4.046,0.593,5.285,2.650,5.541
FFM00354,3.914,2.753,5.153,3.067,3.787,4.153,3.866,3.762,3.669,4.914,4.123,2.764,3.853,3.759,3.941,4.673,4.509,4.200,4.379,3.579,0.488,5.959,1.770,6.122
FFM00355,4.637,3.026,3.218,2.638,4.516,3.675,4.610,3.144,4.287,3.458,3.217,1.903,2.124,4.830,3.322,3.279,3.275,3.187,4.969,2.787,0.809,5.665,1.455,6.223
FFM00356,3.770,3.975,4.777,5.059,4.157,4.068,3.946,3.652,4.754,5.117,4.975,4.927,4.861,3.792,3.980,4.635,4.313,3.627,4.977,4.284,0.324,6.623,1.649,6.568
FFM00357,4.131,5.741,2.503,4.874,5.876,4.498,4.236,5.385,4.699,3.133,3.136,4.715,4.518,6.498,4.577,2.917,4.072,5.030,6.902,3.872,0.614,4.901,1.996,5.590
FFM00358,4.252,4.858,3.547,3.670,5.339,4.032,3.484,4.178,3.904,3.707,3.862,3.219,4.662,5.828,5.187,4.498,4.567,4.125,5.751,4.186,0.612,5.898,2.585,6.085
FFM00359,3.471,3.673,5.535,3.226,5.264,2.930,4.502,4.097,3.673,4.493,5.389,2.315,3.897,5.986,5.165,4.874,3.485,4.004,6.301,3.374,1.059,6.567,2.363,6.634
FFM00360,3.968,3.120,2.929,2.769,2.897,4.022,3.051,2.492,3.401,3.900,4.500,3.954,3.630,2.711,3.607,4.567,2.093,4.601,4.504,3.527,0.740,5.182,3.642,5.324
FFM00361,3.570,4.482,4.234,4.608,4.235,3.490,3.664,5.002,3.912,3.406,3.788,4.367,3.494,4.053,4.042,2.825,2.644,4.827,5.132,4.696,0.506,6.277,2.921,6.297
FFM00362,4.137,3.585,4.848,4.857,3.754,3.953,3.965,4.395,4.496,5.350,4.552,5.127,4.297,4.368,4.668,3.540,2.359,4.515,5.144,3.996,0.408,5.773,2.885,5.878
FFM00363,2.854,4.723,5.700,5.134,5.658,2.863,2.355,4.575,3.556,4.672,6.193,4.105,4.606,4.465,4.666,4.749,4.234,3.873,5.319,4.794,0.750,6.396,1.718,5.913
FFM00364,4.843,4.187,3.336,1.013,2.242,5.199,4.672,3.455,4.849,3.713,3.477,2.778,2.632,2.583,2.699,3.727,4.270,4.336,3.341,1.969,0.484,5.847,1.837,5.915
FFM00365,6.601,4.196,4.342,4.764,3.215,4.845,5.127,3.545,4.899,3.709,4.816,4.333,4.903,4.048,3.168,4.297,3.666,4.835,4.066,4.556,0.839,6.101,1.752,6.133
FFM00366,5.260,4.030,4.491,4.014,4.468,4.279,4.407,3.762,4.226,4.768,3.298,4.867,4.343,3.145,4.675,3.706,3.015,4.713,5.395,4.404,0.823,5.133,2.110,5.659
FFM00367,4.932,2.631,5.101,3.410,4.054,4.782,3.841,3.073,3.768,4.722,4.405,4.950,3.362,3.405,3.380,4.333,4.470,3.397,5.039,3.854,0.713,5.273,2.760,5.640
FFM00368,4.170,4.191,3.970,3.190,4.510,4.379,5.014,4.565,4.413,4.115,4.065,3.665,3.168,4.330,3.931,3.657,2.755,4.955,5.615,2.764,0.346,5.888,2.525,6.468
FFM00369,1.929,3.909,4.587,2.933,3.626,2.688,3.884,3.645,3.646,3.740,3.625,2.857,3.339,3.954,3.597,4.254,3.552,4.618,4.831,2.977,0.430,5.763,1.490,5.838
FFM00370,5.471,4.988,3.371,5.190,5.121,5.409,3.942,5.474,4.906,4.001,3.116,4.738,5.065,4.619,4.220,3.007,4.198,4.782,5.719,5.068,0.729,5.757,1.895,5.783
FFM00371,2.813,4.216,3.685,3.269,1.395,1.692,3.600,3.657,3.972,4.774,3.163,3.093,3.260,1.963,1.867,4.104,3.159,3.626,3.382,4.191,0.819,6.146,2.942,6.412
FFM00372,3.258,2.245,4.979,3.607,3.557,4.248,3.399,1.942,2.013,4.025,4.551,3.345,2.653,3.562,3.868,2.825,2.129,3.471,4.173,3.108,0.489,6.411,3.029,5.878
FFM00373,4.042,4.581,3.945,2.560,3.774,3.266,3.231,3.653,3.530,2.962,3.750,3.724,3.062,3.423,3.477,4.386,3.889,4.834,3.645,3.907,0.333,5.267,1.378,5.568
FFM00374,5.707,4.352,5.226,4.141,3.790,6.061,5.134,4.968,4.472,5.087,4.705,4.334,3.498,3.818,3.756,3.779,3.950,4.953,4.050,2.896,0.541,6.140,2.650,6.261
FFM00375,2.338,2.850,3.510,3.912,2.046,1.760,2.489,3.329,3.522,3.890,4.235,3.936,3.622,2.661,3.289,3.672,2.332,2.660,2.993,4.890,0.442,5.801,1.698,6.018
FFM00376,1.539,2.418,3.959,4.449,4.431,1.951,3.308,2.631,2.636,4.521,3.454,4.992,3.909,3.486,5.034,3.088,1.975,2.337,5.385,5.568,1.012,5.374,2.737,6.106
FFM00377,3.457,4.460,4.697,3.402,4.471,4.366,2.995,4.162,4.374,5.336,5.167,2.994,4.269,3.858,4.903,4.143,3.036,4.207,4.158,3.527,0.814,6.813,2.409,6.660
FFM00378,4.525,1.914,2.646,4.304,5.447,4.537,4.216,3.359,2.084,2.586,2.947,4.300,4.138,5.340,4.247,2.361,3.566,3.293,4.849,5.150,0.642,4.900,1.781,5.805
FFM00379,3.501,3.272,3.961,4.697,5.227,3.589,4.017,3.586,3.495,3.854,4.303,4.563,4.889,5.383,5.324,3.395,3.651,3.328,5.713,4.933,0.270,5.704,1.762,6.538
FFM00380,2.338,4.824,3.522,4.492,3.236,2.867,1.999,4.465,5.497,3.764,3.896,4.064,3.633,3.861,2.990,3.147,2.624,4.431,3.979,4.253,0.667,6.140,1.973,6.710
FFM00381,3.616,3.916,7.000,4.500,3.745,3.681,3.864,3.578,2.492,5.780,7.000,3.672,4.350,3.781,4.077,4.460,3.287,3.744,4.136,4.143,0.693,7.199,3.736,6.385
FFM00382,3.041,4.069,4.187,3.472,4.273,3.149,3.124,3.760,4.002,5.062,4.372,3.744,3.518,3.812,4.298,3.878,3.169,3.434,5.240,3.921,0.334,6.072,1.743,6.575
FFM00383,3.039,3.702,3.085,3.658,5.279,2.866,3.346,4.059,4.030,3.175,3.794,3.714,3.927,3.969,5.044,3.013,4.044,3.954,4.837,4.223,0.483,5.998,1.075,6.410
FFM00384,3.528,5.183,6.055,3.124,3.357,4.005,2.252,4.379,5.708,4.830,5.766,1.952,2.372,3.407,3.643,5.230,3.763,4.219,4.813,3.040,0.935,6.123,2.872,5.817
FFM00385,1.977,4.364,4.110,3.015,3.907,2.749,3.163,3.959,3.360,3.255,3.196,3.411,2.588,4.037,3.881,3.374,4.292,4.259,5.637,3.933,0.410,5.561,2.679,5.884
FFM00386,3.713,4.802,4.418,3.936,5.022,4.271,3.010,4.531,4.435,3.985,4.946,4.169,4.278,4.510,5.165,4.011,3.884,4.204,5.531,3.870,0.616,6.565,1.685,6.549
FFM00387,4.471,4.973,4.008,3.103,3.332,4.664,4.327,5.706,5.642,4.316,3.285,2.995,3.396,4.449,2.761,3.487,3.688,4.985,4.103,4.076,0.704,5.800,1.902,6.060
FFM00388,4.702,4.176,5.599,3.160,4.227,4.117,4.131,4.580,3.979,5.244,5.240,3.393,3.544,5.581,4.256,4.148,3.982,4.115,5.738,2.783,0.419,6.209,3.049,6.273
FFM00389,5.282,1.818,5.353,3.923,2.890,4.716,5.058,2.161,3.419,5.099,4.437,3.572,3.180,3.428,2.496,3.998,4.259,3.374,3.688,5.120,0.717,5.810,3.132,5.849
FFM00390,1.937,3.817,2.320,3.004,3.786,1.801,2.341,4.187,3.280,2.919,2.220,3.405,2.948,4.406,3.980,2.770,3.466,3.287,5.128,3.555,0.606,6.319,1.994,6.999
FFM00391,3.928,5.171,5.226,5.392,4.066,3.587,4.227,5.471,3.686,4.775,4.817,5.924,4.659,3.413,4.371,4.154,3.168,4.406,5.079,6.356,0.938,6.916,2.494,6.673
FFM00392,1.383,2.690,4.640,2.971,4.881,2.546,1.790,2.719,2.257,5.012,4.389,3.962,3.640,4.274,3.954,4.079,2.385,2.907,4.497,3.951,0.496,5.612,1.543,5.507
FFM00393,4.134,5.091,4.095,5.996,2.482,3.739,3.897,4.986,5.232,3.870,4.602,5.454,5.020,3.418,2.494,4.652,3.686,4.215,2.702,6.753,0.499,6.066,1.337,6.458
FFM00394,4.298,3.879,5.105,2.870,3.922,3.951,4.515,3.525,4.185,3.985,3.659,4.353,3.321,4.871,4.280,3.692,4.422,4.249,5.056,3.908,0.634,4.903,3.198,5.104
FFM00395,3.681,5.203,4.175,3.631,3.942,3.192,3.055,4.982,5.428,4.450,4.273,3.875,3.199,3.097,3.858,3.509,3.203,5.111,4.959,2.916,0.439,6.784,2.310,6.421
FFM00396,4.469,4.290,4.188,4.834,4.531,6.045,4.694,3.985,3.763,4.127,3.734,4.996,4.135,4.358,3.564,3.361,2.769,4.325,5.391,4.781,0.724,6.235,2.700,6.189
FFM00397,4.210,4.205,4.777,4.120,3.230,4.095,3.560,4.240,5.178,5.497,4.603,4.480,2.988,2.879,3.097,4.029,4.883,3.680,4.019,5.093,0.816,6.066,2.402,6.031
FFM00398,3.535,1.000,5.491,2.743,5.957,3.448,4.374,1.087,1.782,5.120,5.752,3.695,3.431,5.613,5.358,4.202,3.723,2.490,6.689,4.050,0.555,5.375,3.161,5.893
FFM00399,5.448,3.061,1.819,1.272,3.269,4.289,5.162,4.286,3.271,1.782,2.277,1.562,2.118,3.007,3.856,2.277,4.715,4.631,3.976,2.386,0.757,4.888,1.826,5.598
FFM00400,4.740,2.776,4.143,3.707,4.556,4.881,4.394,3.066,3.566,4.795,3.840,2.696,2.736,5.883,3.662,4.177,3.842,3.929,5.648,3.365,0.841,5.748,2.078,6.413
FFM00401,2.675,4.206,4.699,3.686,3.700,3.399,2.141,3.667,4.352,5.705,3.703,4.344,3.324,2.835,3.491,3.951,2.632,3.722,3.133,4.216,1.124,5.762,2.581,6.517
FFM00402,3.729,3.821,5.719,4.233,3.671,4.139,4.206,4.042,3.964,4.668,3.895,4.146,4.793,4.090,3.592,3.414,3.957,3.278,4.813,3.959,0.413,5.970,3.907,6.356
FFM00403,3.435,4.993,3.273,4.193,3.029,2.984,2.164,4.270,4.694,2.387,2.710,4.944,3.888,3.009,2.042,2.732,2.474,3.748,4.152,3.829,0.718,5.522,2.451,5.716
